Time,Conductivity,Temperature,Pressure,Temperature,DO Mg/L,Dissolved O₂ concentration,PAR,pH,Turbidity,Sea pressure,Depth,Salinity,Speed of sound,Specific conductivity,Dissolved O₂ saturation,Density anomaly
11/17/22 12:09,0.032232791,7.70602417,10.14741611,8.845399857,15.68519922,490.1624756,1086.687012,9.695526123,0.711914063,0.01491642,0.014794781,0.023382476,1437.940796,48.13126755,135.26474,-0.113311176
11/17/22 12:09,0.032503728,7.706604004,10.19212341,8.845399857,15.6852041,490.1626282,1046.185059,9.754797935,0.978759766,0.059623718,0.059137505,0.023563487,1437.944214,48.53503799,135.2649384,-0.1129835
11/17/22 12:09,0.031671103,7.703735352,10.24185944,8.845399857,15.68528418,490.1651306,1005.46582,9.794114113,0.998046875,0.109359741,0.108467944,0.023007523,1437.932129,47.29561615,135.265152,-0.113023538
11/17/22 12:09,0.031883929,7.709594727,10.29812717,8.845399857,15.68529785,490.1655579,983.7358398,9.802840233,0.586181641,0.16562748,0.164276838,0.023148872,1437.957886,47.60548019,135.2653961,-0.112969536
11/17/22 12:09,0.031477414,7.71963501,10.35291004,8.845399857,15.68535352,490.1672974,1001.883301,9.78351593,0.880371094,0.220410347,0.218612969,0.02287624,1438.00061,46.98506927,135.265625,-0.113489432
11/17/22 12:09,0.030915724,7.720733643,10.37909126,8.845399857,15.6854043,490.1688843,463.3994141,9.821087837,0.885498047,0.246591568,0.244580686,0.02250156,1438.005127,46.14521408,135.2657318,-0.113723239
11/17/22 12:09,0.0311097,7.709411621,10.40250397,8.845399857,15.68540234,490.1688232,510.0966797,9.816791534,0.927490234,0.270004272,0.267802477,0.022632137,1437.958008,46.44973755,135.2658539,-0.112865507
11/17/22 12:09,0.030992588,7.715362549,10.43139362,8.359499931,10.6381875,332.4433594,878.1660156,9.814373016,0.945068359,0.298893929,0.296456546,0.022553369,1437.983521,46.26702118,90.66881561,-0.113124865
11/17/22 12:09,0.031457823,7.717651367,10.4560194,8.359499931,10.63817578,332.4429932,772.0991211,9.814170837,0.84765625,0.323519707,0.320881486,0.022863373,1437.993896,46.95848083,90.66888428,-0.112888493
11/17/22 12:09,0.031710789,7.720428467,10.46253014,8.359499931,10.63816602,332.442688,769.6826172,9.810359955,0.786621094,0.330030441,0.327339143,0.023031831,1438.005859,47.33234787,90.66890717,-0.112880177
